startdate,enddate,uid_r,text,gods_involved
02-25,02-25,V396-1,2/25: The birthday celebration of Qitian dasheng 齐天大圣.,['Qitian dasheng']
04-26,04-26,V396-2,4/26: The birthday celebration of Yanggong taishi 杨公太师.,['Yanggong taishi']
05-13,05-13,V396-3,5/13: The birthday celebration of Sima shengwang 司马圣王.,['Sima shengwang']
06-06,06-06,V396-4,6/6: The birthday celebration of Fude zhengshen 福德正神. Marionette opera is performed.,['Fude zhengshen']
08-11,08-11,V396-5,8/11: The birthday celebration of Zhangshi furen 张氏夫人.,['Zhangshi furen']
08-12,08-13,V396-6,8/12–13: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is organized with Houdun 后墩 in turns.,"['Houtu furen', 'Zunzhu mingwang']"
10-28,10-28,V396-7,"10/28: A procession is held within the village. Both the main gods and secondary gods participate. However, only some of the gods are taken on procession. Different surname groups host the gods on different days. On these occasions, opera is performed and Daoist ritual masters are invited to conduct rituals. These events are organized by the village as a whole, or by surname groups, and funds are collected on a per capita basis.",[]
03-23,03-23,V397-1,3/23: The birthday celebration of Tianshang shengmu 天上圣母.,['Tianshang shengmu']
08-12,08-12,V397-2,"8/12: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On there dates, opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
04-09,04-09,V398-1,4/9: The birthday celebration of Tiangong yuanshuai 田公元帅.,"['Tiangong', 'Tiangong yuanshuai']"
07-23,07-23,V398-2,7/23: The birthday celebration of Zhanggong shengjun 张公圣君.,['Zhanggong shengjun']
09-11,09-11,V398-3,"9/11: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On these occasions, opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
01-14,01-14,V399-1,1/14: The birthday celebration of Sanyi jiaozhu 三一教主. Three in One scripture masters 经师 are invited to conduct rituals.,['Sanyi jiaozhu']
05-05,05-05,V399-2,5/5: The birthday celebration of Lufu dashen 鲁府大神 is organized by the village.,[]
07-07,07-07,V399-3,7/7: The birthday celebration of Lufu furen 鲁府夫人 is organized by the village.,['Lufu furen']
07-16,07-16,V399-4,7/16: The celebration of the apotheosis of Sanyi jiaozhu 三一教主 is held.,['Sanyi jiaozhu']
08-04,08-04,V399-5,8/4: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Anrenshê 安仁社 is organized by the Anrenshê.,"['Houtu furen', 'Zunzhu mingwang']"
09-01,09-01,V399-6,"9/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Wenfengshê 文峰社 is organized by the Wenfengshê. On these occasions, opera is performed and either Three in One scripture masters or Daoist ritual masters are invited to perform rites. The events are organized by the village as a whole, or by specific shê temples and their communities, and funds are raised on a per capita basis and/or by voluntary contributions.","['Houtu furen', 'Zunzhu mingwang']"
03-03,03-03,V400-1,3/3: The celebration of Xuantian shangdi 玄天上帝 is held and opera is performed for two days or more.,['Xuantian shangdi']
07-16,07-16,V400-2,"7/16: The celebration of Sanyi jiaozhu 三一教主 is organized by the Zhongyitang temple committee, who invite Three in One scripture masters to conduct a jiao ritual 建醮.",['Sanyi jiaozhu']
07-23,07-23,V400-3,7/23: The celebration of Zhanggong shengjun 张公圣君.,['Zhanggong shengjun']
10-19,10-19,V400-4,10/19: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held in rotation with Houdun 后墩 with each village sponsoring opera.,"['Houtu furen', 'Zunzhu mingwang']"
03-03,03-03,V401-1,3/3: The celebration of Xuantian shangdi 玄天上帝 is held with at least two days of opera.,['Xuantian shangdi']
05-05,05-05,V401-2,5/5: The celebration of Wuhuang dadi 五皇大帝.,['Wuhuang dadi']
05-15,05-15,V401-3,5/15: The celebration of Tiankui 天魁 and Dikui 地魁 is held with three days of opera.,['Dikui']
05-17,05-17,V401-4,5/17: The celebration of Wang lingguan 王灵官.,['Wang lingguan']
10-19,10-19,V401-5,"10/19: The celebration of Zunzhu mingwang 尊主明王, Houtu furen 后土 夫人 is held with Chenqiao 陈桥 village, which takes turns sponsoring opera performances.","['Houtu furen', 'Zunzhu mingwang']"
06-18,06-18,V402-1,"On 6/18: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held, with two days of opera. Funding is raised on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
10-15,10-15,V403-1,"10/15: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held, with two days of opera. Funding is raised on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
02-25,02-25,V404-1,2/25: The celebration of Qitian dasheng 齐天大圣 is held and opera is performed for two days.,['Qitian dasheng']
03-23,03-23,V404-2,3/23: The celebration of Tianshang shengmu 天上圣母 is held and opera is performed for two days.,['Tianshang shengmu']
04-19,04-19,V404-3,4/19: The celebration of Cuifu dama 崔府大妈 is held and opera is performed for two days.,['Cuifu dama']
04-26,04-26,V404-4,4/26: The celebration of Yanggong taishi 杨公太师 is held and opera is performed for two days.,['Yanggong taishi']
07-23,07-23,V404-5,7/23: The celebration of Zhanggong shengjun 张公圣君 is held and opera is performed for two days.,['Zhanggong shengjun']
10-19,10-19,V404-6,"10/19: The celebration of Zunzhu mingwang 尊主明王, Houtu furen 后土 夫人 is held and opera is performed for two days.","['Houtu furen', 'Zunzhu mingwang']"
02-25,02-25,V405-1,2/25: The celebration of Qitian dasheng 齐天大圣.,['Qitian dasheng']
05-22,05-22,V405-2,5/22: The celebration of Puji shenghou 普济圣侯.,['Puji shenghou']
06-12,06-12,V405-3,6/12: The celebration of Beidou xingjun 北斗星君.,['Beidou xingjun']
10-19,10-19,V405-4,"10/19: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On each god’s birthday opera is performed for two days, Sometimes a single Daoist master is invited to recite scriptures. These events are organized by the 福首. Funding is raised on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
03-23,03-23,V406-1,"3/23: The celebration of Tianshang shengmu 天上圣母 is held, and marionette plays are performed.",['Tianshang shengmu']
04-09,04-09,V406-2,"4/9: The celebration of Tiangong yuanshuai 田公元帅 is held, and opera is performed for two days while Daoist ritual masters recite scriptures.","['Tiangong', 'Tiangong yuanshuai']"
10-19,10-19,V406-3,"10/19: The celebration of Zunzhu mingwang 尊主明王, Houtu furen 后土 夫人 is held, and opera is performed for two days while Daoist ritual masters recite scriptures. All these events are organized by the village as a whole. Funding is raised on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
03-15,03-15,V407-1,3/15: The celebration of Ciji zhenjun 慈济真君 is held and opera is performed for two days.,['Ciji zhenjun']
04-09,04-09,V407-2,4/9: The celebration of Tiangong yuanshuai 田公元帅 is held and opera is performed for two days. The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Xixingshê 西兴社 is held and opera is performed for two days. This event is organized by the Jiang 蒋.,"['Houtu furen', 'Tiangong', 'Tiangong yuanshuai', 'Zunzhu mingwang']"
08-06,08-06,V407-3,8/6: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Yingfushê 迎福社 is held and opera is performed for two days. This event is organized by the Yu 喻.,"['Houtu furen', 'Zunzhu mingwang']"
08-07,08-07,V407-4,8/7: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Yingfushê 迎福社 is held and opera is performed for two days. This event is organized by the Yu 俞.,"['Houtu furen', 'Zunzhu mingwang']"
08-23,08-23,V407-5,8/23: The celebration of Tiangong yuanshuai 田公元帅 is held and opera is performed for two days.,"['Tiangong', 'Tiangong yuanshuai']"
09-23,09-23,V407-6,9/23: The celebration of the Guanyin dashi 观音大士 of the Huilinting 慧林亭 is held and opera is performed for two days. Five spirit mediums perform a fire-walking ritual.,"['Guanyin', 'Guanyin dashi']"
10-08,10-08,V407-7,10/8: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Shoufushê 受福社 is held and opera is performed for two days. This is organized by the miscellaneous minor surname groups.,"['Houtu furen', 'Zunzhu mingwang']"
10-23,10-23,V407-8,10/23: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Xifushê 西福社 is held and opera is performed for two days. This event is organized by the Dai 戴.,"['Houtu furen', 'Zunzhu mingwang']"
08-01,08-01,V407-9,8/1: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Xixingshê 西兴社 is held and opera is performed for two days. Th is event is organized by the Jiang 蒋.,"['Houtu furen', 'Zunzhu mingwang']"
08-06,08-06,V407-10,8/6: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Yingfushê 迎福社 is held and opera is performed for two days. Th is event is organized by the Yu 喻.,"['Houtu furen', 'Zunzhu mingwang']"
08-07,08-07,V407-11,8/7: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Yingfushê 迎福社 is held and opera is performed for two days. Th is event is organized by the Yu 俞.,"['Houtu furen', 'Zunzhu mingwang']"
08-23,08-23,V407-12,8/23: The celebration of Tiangong yuanshuai 田公元帅 is held and opera is performed for two days.,"['Tiangong', 'Tiangong yuanshuai']"
09-23,09-23,V407-13,9/23: The celebration of the Guanyin dashi 观音大士 of the Huilinting 慧林亭 is held and opera is performed for two days. Five spirit mediums perform a fire-walking ritual.,"['Guanyin', 'Guanyin dashi']"
10-08,10-08,V407-14,10/8: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Shoufushê 受福社 is held and opera is performed for two days. Th is is organized by the miscellaneous minor surname groups.,"['Houtu furen', 'Zunzhu mingwang']"
10-23,10-23,V407-15,10/23: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Xifushê 西福社 is held and opera is performed for two days. Th is event is organized by the Dai 戴.,"['Houtu furen', 'Zunzhu mingwang']"
04-09,04-09,V408-1,4/9: The celebration of Tiangong yuanshuai 田公元帅.,"['Tiangong', 'Tiangong yuanshuai']"
04-26,04-26,V408-2,4/26: The celebration of Yanggong taishi 杨公太师.,['Yanggong taishi']
05-05,05-05,V408-3,5/5: The celebration of Lufu dashen 鲁府大神.,[]
05-13,05-13,V408-4,5/13: The celebration of Sima shengwang 司马圣王.,['Sima shengwang']
07-07,07-07,V408-5,7/7: The celebration of Lufu dama 鲁府大妈.,['Lufu dama']
08-13,08-13,V408-6,8/13: The celebration of Tiangong yuanshuai 田公元帅.,"['Tiangong', 'Tiangong yuanshuai']"
10-20,10-20,V408-7,"10/20: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 On each of these occasions, opera is performed for two days.","['Houtu furen', 'Zunzhu mingwang']"
02-25,02-25,V409-1,2/25: The celebration of Qitian dasheng 齐天大圣.,['Qitian dasheng']
03-03,03-03,V409-2,3/3: The celebration of Xuantian shangdi 玄天上帝.,['Xuantian shangdi']
04-29,04-29,V409-3,4/29: The celebration of Bai daren 白大人.,['Bai daren']
05-13,05-13,V409-4,5/13: The celebration of Sima shengwang 司马圣王. The celebration of Guanyin dashi 观音大士. The celebration of Puhua tianzun 普化天尊. The celebration of Qitian dasheng 齐天大圣. The celebration of Jin daren 金大人. The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Xinyishê 新义社.,"['Guanyin', 'Guanyin dashi', 'Houtu furen', 'Jin daren', 'Puhua tianzun', 'Qitian dasheng', 'Sima shengwang', 'Zunzhu mingwang']"
09-15,09-15,V409-5,9/15: The celebration of Beidou xingjun 北斗星君. A procession is made to Lingyundian 凌云殿 on Hugong 壶公 Mountain to request incense fire and opera is performed for three days.,['Beidou xingjun']
10-17,10-17,V409-6,10/17: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Yingfushê 迎福社. On each god’s birthday opera is performed for two days. These events are organized by the Fushou 福首. Funding is raised on a per capita basis.,"['Houtu furen', 'Zunzhu mingwang']"
06-18,06-18,V410-1,6/18: The celebration of Peng jiangjun 彭将军 is held and opera is performed for two days.,['Peng jiangjun']
10-16,10-16,V410-2,10/16: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held and opera is performed for two days.,"['Houtu furen', 'Zunzhu mingwang']"
02-25,02-25,V411-1,2/25: The celebration of Qitian dasheng 齐天大圣.,['Qitian dasheng']
03-03,03-03,V411-2,3/3: The celebration of Xuantian shangdi 玄天上帝.,['Xuantian shangdi']
03-15,03-15,V411-3,3/15: The celebration of Xuantan yuanshuai 玄坛元帅.,['Xuantan yuanshuai']
04-26,04-26,V411-4,4/26: The celebration of Yanggong taishi 杨公太师.,['Yanggong taishi']
07-23,07-23,V411-5,7/23: The celebration of Zhanggong shengjun 张公圣君.,['Zhanggong shengjun']
10-12,10-12,V411-6,10/12: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On each god’s birthday opera is performed for two days. These events are organized by the 福首. Funding is raised on a per capita basis.,"['Houtu furen', 'Zunzhu mingwang']"
02-25,02-25,V412-1,2/25: The celebration of Qitian dasheng 齐天大圣.,['Qitian dasheng']
04-27,04-27,V412-2,4/27: The celebration of Beidou xingjun 北斗星君.,['Beidou xingjun']
05-05,05-05,V412-3,5/5: The celebration of Wuhuang dadi 五皇大帝.,['Wuhuang dadi']
05-13,05-13,V412-4,5/13: The celebration of Sima shengwang 司马圣王.,['Sima shengwang']
06-06,06-06,V412-5,6/6: The celebration of Fude zhengshen 福德正神.,['Fude zhengshen']
07-16,07-16,V412-6,7/16: The celebration of Sanyi jiaozhu 三一教主.,['Sanyi jiaozhu']
08-13,08-13,V412-7,8/13: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
08-15,08-15,V412-8,8/15: The celebration of Hei daren 黑大人.,['Hei daren']
09-15,09-15,V412-9,9/15: The celebration of Sihai longwang 四海龙王.,['Sihai longwang']
10-11,10-11,V412-10,10/11: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On each god’s birthday opera is performed for two days. These events are organized by the Fushou 福首. Funding is raised on a per capita basis.,"['Houtu furen', 'Zunzhu mingwang']"
02-10,02-10,V413-1,"2/10: The celebration of Chen Jinggu 陈靖姑 is held, and opera is performed for two days.",['Chen Jinggu']
02-25,02-25,V414-1,2/25: The celebration of Qitian dasheng 齐天大圣 3/3: The celebration of Xuantian shangdi 玄天上帝 is held and opera is performed for two days.,"['Qitian dasheng', 'Xuantian shangdi']"
03-23,03-23,V414-2,3/23: The celebration of Tianshang shengmu 天上圣母 is held and opera is performed for two days.,['Tianshang shengmu']
04-26,04-26,V414-3,4/26: The celebration of Yanggong taishi 杨公太师 is held and opera is performed for two days.,['Yanggong taishi']
07-23,07-23,V414-4,7/23: The celebration of Zhanggong shengjun 张公圣君 is held and opera is performed for two days.,['Zhanggong shengjun']
08-15,08-15,V414-5,"8/15: The celebration of Zunzhu mingwang 尊主明王, Houtu furen 后土夫人 is held and opera is performed for two days.","['Houtu furen', 'Zunzhu mingwang']"
01-07,01-07,V415-1,1/7: The celebration of Yuhuang dadi 玉皇大帝 is organized by Houdun 后墩.,['Yuhuang dadi']
01-14,01-14,V415-2,1/14: The celebration of Sanyi jiaozhu 三一教主 is organized by Qiancuo 前厝.,['Sanyi jiaozhu']
02-03,02-03,V415-3,2/3: The celebration of Wenchang dijun 文昌帝君 is organized by Houcuo 后厝.,['Wenchang dijun']
02-25,02-25,V415-4,2/25: The celebration of Qitian dasheng 齐天大圣 is organized by Qiandun 前墩. Opera is performed for two days.,['Qitian dasheng']
03-23,03-23,V415-5,3/23: The celebration of Xuantian shangdi 玄天上帝 is organized by Qiandun 前墩. Opera is performed for two days.,['Xuantian shangdi']
04-09,04-09,V415-6,4/9: The celebration of Tiangong yuanshuai 田公元帅 is organized by Qiandun 前墩. Opera is performed for two days. The celebration of Shi daren 士大人 is organized by Houdun 后墩. Opera is performed for two days.,"['Tiangong', 'Tiangong yuanshuai']"
05-16,05-16,V415-7,5/16: The celebration of Heaven and earth 天地 is organized by Houdun 后墩.,[]
07-07,07-07,V415-8,7/7: The celebration of Kuidou xingjun 魁斗星君 is organized by Houcuo 后厝.,['Kuidou xingjun']
07-15,07-15,V415-9,7/15: The celebration of Gou yushi 苟御史 is organized by Qiancuo 前厝. Opera is performed for two days.,[]
07-16,07-16,V415-10,7/16: The celebration of Sanyi jiaozhu 三一教主 is organized by Houdun 后墩.,['Sanyi jiaozhu']
07-23,07-23,V415-11,7/23: The celebration of Zhanggong shengjun 张公圣君 is organized by Houdun 后墩. Opera is performed for two days.,['Zhanggong shengjun']
08-21,08-21,V415-12,8/21: The celebration of Cuifu dama 崔府大妈 is organized by Houcuo 后厝.,['Cuifu dama']
09-04,09-04,V415-13,9/4: The celebration of Fanghuo dadi 放火大帝 is organized by Houcuo 后厝. Opera is performed for two days.,['Fanghuo dadi']
09-15,09-15,V415-14,9/15: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is organized by Qiandun 前墩. Opera is performed for two days.,"['Houtu furen', 'Zunzhu mingwang']"
10-18,10-18,V415-15,10/18: The celebration of Tianjie guniang 天界姑娘 is organized by Qiandun 前墩.,[]
07-29,07-29,V416-1,"7/29: Xiayuan pudu 中元普度 rites of Universal Deliverance are performed. Formerly, as many as five or seven Daoist ritual masters were invited to conduct the rites, currently only a single Daoist master is invited. During the ritual, water lanterns are set to float from boats on the irrigation canals.",[]
08-21,08-21,V416-2,"8/21: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed for two days. The celebration is organized by the village as a whole, and funding is raised on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
11-02,11-02,V416-3,11/2: Opera is performed for two days at the Lower Prime pudu 下元普度.,[]
10-03,10-03,V417-1,"10/3: The celebration for Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed for two days. The celebration is organized by the village as a whole, and funding is raised on a per capita basis. Xiayuan pudu 下元普度 is performed on a date determined by spirit writing and is conducted once every three years. Marionette plays are performed.","['Houtu furen', 'Zunzhu mingwang']"
07-23,07-23,V418-1,7/23: The celebration of Zhanggong shengjun 张公圣君.,['Zhanggong shengjun']
08-21,08-21,V418-2,"8/21: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed for two days. The celebration is organized by the village as a whole, and funding is raised on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
04-17,04-17,V419-1,4/17: The celebration for Baigong daren 白公大人.,['Baigong daren']
08-15,08-15,V419-2,"8/15: The celebration for Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On each god’s birthday opera is performed for two days, These events are organized by the village as a whole. Funding is raised on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
02-22,02-22,V420-1,2/22 and 8/24: The celebration of the gods of Hongrenci 弘仁祠.,[]
07-16,07-16,V420-2,7/16: The celebration of the Sanyi jiaozhu 三一教主.,['Sanyi jiaozhu']
04-08,04-08,V420-3,4/8: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
04-09,04-09,V420-4,"4/9: The celebration of Tiangong yuanshuai 田公元帅. Each time opera is performed for two days. These events are organized by the village as a whole. Funding is raised on a per capita basis. Xiayuan pudu 下元普度 rites are performed on a time determined by spirit writing 扶乩, once every three years. Marionette plays are performed.","['Tiangong', 'Tiangong yuanshuai']"
04-22,04-22,V421-1,4/22: The celebration of Ma daren 马大人.,['Ma daren']
08-21,08-21,V421-2,"8/21: The celebration of Zunzhu mingwang 尊主明王, Houtu furen 后土 夫人. On each god’s birthday opera is performed for two days. These events are organized by the village as a whole. Funding is raised on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
01-09,01-09,V422-1,1/9: Villagers request incense fire 香火 from Yuhuang dadi 玉皇大帝 of Lingyundian 凌云殿 on Hugong mountain. This is organized by Jiangtouwei 江头尾.,['Yuhuang dadi']
02-10,02-10,V422-2,2/10: The celebration of Tianqian shengmu 天前圣母 is organized by Qianshê 前社.,['Tianqian shengmu']
02-22,02-22,V422-3,2/22: The celebration of Li daye 李大爷 is organized by Jiangtouwei 江头尾.,['Li daye']
03-15,03-15,V422-4,3/15: The celebration of Xie daye 谢大爷 is organized by Jiangtouwei 江头尾.,['Xie daye']
03-23,03-23,V422-5,3/23: The celebration of Tianshang shengmu 天上圣母 is organized by Dalu 大路.,['Tianshang shengmu']
04-09,04-09,V422-6,4/9: The celebration of Tiangong yuanshuai 田公元帅 is organized by Dalu 大路.,"['Tiangong', 'Tiangong yuanshuai']"
04-26,04-26,V422-7,4/26: The celebration of Yanggong taishi 杨公太师 is organized by Qianshê 前社.,['Yanggong taishi']
05-05,05-05,V422-8,5/5: The celebration of Wuxian dashen 五显大帝 is organized by Dalu 大路; the celebration of Lufu dashen 鲁府大神 is organized by Jiangtouwei 江头尾.,[]
06-06,06-06,V422-9,6/6: The celebration of Zhouguang pingwang 周广平王 is organized by Qianshê 前社.,['Zhouguang pingwang']
07-07,07-07,V422-10,7/7: The celebration of Lufu furen 鲁府夫人 is organized separately by Jiangtouwei 江头尾 and Qianshê 前社.,['Lufu furen']
08-23,08-23,V422-11,8/23: The celebration of Gong daren 龚大人 is organized by Jiangtouwei 江头尾.,['Gong daren']
10-15,10-15,V422-12,10/15: The celebration of Huang daye 黄大爷 is organized by Jiangtouwei 江头尾.,['Huang daye']
10-19,10-19,V422-13,10/19: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Daxishê 大西社 is organized by Dalu 大路.,"['Houtu furen', 'Zunzhu mingwang']"
10-21,10-21,V422-14,10/21: The celebration of Jianzi xingjun 甲子星君 is organized by Qianshê 前社.,[]
01-12,01-12,V423-1,1/12: The celebration of Jixiang dajiiang 吉祥大将 is held.,[]
01-19,01-19,V423-2,1/19: The Shê 佘 invite the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人of the Fushoushe 福寿社 to their ancestral hall.,"['Houtu furen', 'Zunzhu mingwang']"
02-10,02-10,V423-3,2/10: The celebration of Tianqian shengmu 天前圣母 is organized by Qihangqian 棋行前.,['Tianqian shengmu']
03-15,03-15,V423-4,3/15: The Shê 佘 invite the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Fushoushe 福寿社 to their ancestral hall 祠堂.,"['Houtu furen', 'Zunzhu mingwang']"
04-26,04-26,V423-5,4/26: The celebration of Yanggong taishi 杨公太师 is organized by Qihangqian 棋行前.,['Yanggong taishi']
05-05,05-05,V423-6,5/5: The celebration of Lufu dashen 鲁府大神 is organized by Qihangqian 棋行前. The celebration of Wutan liesheng 五坛列圣 is organized by the village as a whole.,['Wutan liesheng']
07-07,07-07,V423-7,7/7: The celebration of Lufu furen 鲁府夫人 is organized by Qihangqian 棋行前.,['Lufu furen']
07-23,07-23,V423-8,7/23: The celebration of Zhanggong shengjun 张公圣君 is organized by Qihangqian 棋行前.,['Zhanggong shengjun']
MM-DD,MM-DD,V423-9,Each year with an intercalary seventh lunar month Zhanggong shengjun 张公圣君 goes on a procession through the entire ritual territory.,['Zhanggong shengjun']
08-23,08-23,V423-10,8/23: The celebration of Tiangong yuanshuai 田公元帅 is organized by Qihangqian 棋行前.,"['Tiangong', 'Tiangong yuanshuai']"
10-12,10-12,V423-11,10/12: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Fushoushe 福寿社 is organized by the village as a whole.,"['Houtu furen', 'Zunzhu mingwang']"
10-15,10-15,V423-12,10/15: The Shê 佘 invite the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Fushoushe 福寿社 to their lineage ancestral hall 祠堂.,"['Houtu furen', 'Zunzhu mingwang']"
11-04,11-04,V423-13,"11/4: The celebration of Xiehu dajiang 谢虎大将 is held. On each of the above occasions, opera is performed for two days, and funds are raised on a per capita basis.",[]
02-25,02-25,V424-1,2/25: The celebration of Qitian dasheng 齐天大圣.,['Qitian dasheng']
03-23,03-23,V424-2,3/23: The celebration of Tianshang shengmu 天上圣母.,['Tianshang shengmu']
05-11,05-11,V424-3,5/11: The celebration of Taibao zhongjun 太保中军.,[]
05-13,05-13,V424-4,5/13: The celebration of Sima shengwang 司马圣王.,['Sima shengwang']
06-11,06-11,V424-5,6/11: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后 土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
07-16,07-16,V424-6,"7/16: The celebration of Sanyi jiaozhu 三一教主. On each of the above occasions, opera is performed for two days, and funds are raised on a per capita basis.",['Sanyi jiaozhu']
02-10,02-10,V425-1,2/10: The celebration of Tianqian shengmu 天前圣母 is organized by the Cheng 程 and opera is performed for two days.,['Tianqian shengmu']
03-03,03-03,V425-2,"3/3: The celebration of Xuantian shangdi 玄天上帝 is organized by the village as a whole, and opera is performed for two days.",['Xuantian shangdi']
03-23,03-23,V425-3,"3/23: The celebration of Tianshang shengmu 天上圣母 is organized by the village as a whole, and opera is performed for three days.",['Tianshang shengmu']
04-09,04-09,V425-4,4/9: The celebration of Tiangong yuanshuai 田公元帅 is organized by the Hu 胡 and opera is performed for three days.,"['Tiangong', 'Tiangong yuanshuai']"
04-14,04-14,V425-5,"4/14: The celebration of Xingling dashen 行令大神. These events are organized by the village as a whole, and opera is performed for two days.",[]
04-26,04-26,V425-6,"4/26: The celebration of Yanggong taishi 杨公太师 is organized by the Weng 翁, and opera is performed for two days.",['Yanggong taishi']
05-06,05-06,V425-7,"5/6: The celebration of Yuhuang dadi 玉皇大帝 is organized by the Hu 胡. These events are organized by the village as a whole, and opera is performed for two days.",['Yuhuang dadi']
05-17,05-17,V425-8,"5/17: The celebration of Hu gunniang 胡姑娘. These events are organized by the village as a whole, and opera is performed for two days.",[]
06-28,06-28,V425-9,"6/28: The celebration of Yawen dutong dashen 押瘟都统大神 is organized by the Cheng 程, and opera is performed for two days.",['Yawen dutong dashen']
07-02,07-02,V425-10,"7/2: The celebration of the Zunzhu mingwang 尊主明王, Houtu furen 后土夫人 of the Yian lishê 义安里社 is organized by the Cheng 程, the Weng 翁, and the Fan 方 lineages all together, and opera is performed for three days.","['Houtu furen', 'Zunzhu mingwang']"
07-06,07-06,V425-11,"7/6: The celebration of Lufu yima 鲁府姨妈 is organized by the surname of Cheng 程, and opera is performed for two days.",['Lufu yima']
07-23,07-23,V425-12,"7/23: The celebration of Zhanggong shengjun 张公圣君 is organized by the Fang 方, and opera is performed for one day. the celebration of Puji shenghou 普济圣侯 is organized by the Cheng 程, and opera is performed for two days.","['Puji shenghou', 'Zhanggong shengjun']"
08-20,08-20,V425-13,"8/20: The celebration of Tiangong yuanshuai 田公元帅 is organized by the Hu 胡, and opera is performed for three days.","['Tiangong', 'Tiangong yuanshuai']"
09-05,09-05,V425-14,"9/5: The celebration of 五显马元帅 is organized by the Hu 胡, and opera is performed for two days.",[]
10-18,10-18,V425-15,"10/18: The celebration of Kongfu daren 孔府大人 is organized by the Cheng 程, and opera is performed for two days.",['Kongfu daren']
11-19,11-19,V425-16,"11/19: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Yiqingshê 仪清社 is organized by the Fang 方, and marionette plays are performed .","['Houtu furen', 'Zunzhu mingwang']"
11-21,11-21,V425-17,11/21: The celebration of Chenxiannü 陈仙女 is organized by Xiadun 下墩 and opera is performed for two days.,[]
04-08,04-08,V426-1,4/8: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
